,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
224,KE201500000226,KE,2015.0,226.0,R,0.619688,34.933961,9999.0,1733.0,WGS84,POINT (34.933961 0.619688),226,10,3,0,10,10,7,226,27,23,48,5,142,226,143,0,77,western,77,66
225,KE201500000227,KE,2015.0,227.0,R,0.315329,34.529449,9999.0,1370.0,WGS84,POINT (34.529449 0.315329),227,17,8,0,17,16,11,227,30,27,43,5,165,227,165,0,84,western,84,81
226,KE201500000228,KE,2015.0,228.0,R,0.142936,34.527798,9999.0,1447.0,WGS84,POINT (34.527798 0.142936),228,20,9,0,20,16,11,228,28,22,41,4,128,228,128,0,52,western,52,76
227,KE201500000229,KE,2015.0,229.0,U,0.306694,34.758768,9999.0,1508.0,WGS84,POINT (34.758768 0.306694),229,11,2,11,0,11,9,229,24,20,30,3,86,229,88,88,48,western,48,40
228,KE201500000230,KE,2015.0,230.0,U,0.359015,34.486641,9999.0,1289.0,WGS84,POINT (34.486641 0.359015),230,8,5,8,0,7,6,230,25,20,41,3,87,230,87,87,55,western,55,32
229,KE201500000231,KE,2015.0,231.0,R,0.039008,34.675231,9999.0,1560.0,WGS84,POINT (34.675231 0.039008),231,6,2,0,6,5,3,231,30,28,75,4,137,231,137,0,101,western,101,36
230,KE201500000232,KE,2015.0,232.0,R,0.058688,34.62241,9999.0,1486.0,WGS84,POINT (34.62241 0.058688),232,8,3,0,8,8,7,232,28,24,59,3,110,232,110,0,89,western,89,21
231,KE201500000233,KE,2015.0,233.0,R,0.117178,34.819749,9999.0,1696.0,WGS84,POINT (34.819749 0.117178),233,5,2,0,5,4,4,233,26,21,44,4,128,233,128,0,53,western,53,75
232,KE201500000234,KE,2015.0,234.0,U,0.093727,34.69793,9999.0,1488.0,WGS84,POINT (34.69793 0.093727),234,7,5,7,0,7,5,234,27,26,62,3,104,234,104,104,86,western,86,18
233,KE201500000235,KE,2015.0,235.0,U,0.077629,34.730172,9999.0,1604.0,WGS84,POINT (34.730172 0.077629),235,16,5,16,0,15,14,235,29,26,61,3,101,235,101,101,83,western,83,15
234,KE201500000236,KE,2015.0,236.0,R,0.678036,34.493308,9999.0,1416.0,WGS84,POINT (34.493308 0.678036),236,31,17,0,31,30,18,236,29,24,45,6,177,236,182,0,105,western,105,77
235,KE201500000237,KE,2015.0,237.0,R,0.635757,34.718724,9999.0,1511.0,WGS84,POINT (34.718724 0.635757),237,11,8,0,11,11,6,237,25,18,38,4,102,237,103,0,55,western,55,48
236,KE201500000238,KE,2015.0,238.0,R,0.731039,34.530624,9999.0,1542.0,WGS84,POINT (34.530624 0.731039),238,15,8,0,15,15,10,238,30,19,40,4,129,238,134,0,72,western,72,62
237,KE201500000239,KE,2015.0,239.0,R,0.940081,34.730376,9999.0,2327.0,WGS84,POINT (34.730376 0.940081),239,26,6,0,26,26,5,239,29,11,18,4,135,239,135,0,22,western,22,113
238,KE201500000240,KE,2015.0,240.0,U,0.829679,34.756162,9999.0,1721.0,WGS84,POINT (34.756162 0.829679),240,20,8,20,0,20,6,240,28,14,27,5,153,240,153,153,45,western,45,108
239,KE201500000241,KE,2015.0,241.0,U,0.831406,34.726517,9999.0,1773.0,WGS84,POINT (34.726517 0.831406),241,19,4,19,0,17,10,241,30,16,36,5,159,241,160,160,69,western,69,91
240,KE201500000242,KE,2015.0,242.0,R,0.579619,34.372331,9999.0,1212.0,WGS84,POINT (34.372331 0.579619),242,20,10,0,20,18,17,242,28,26,53,5,150,242,151,0,109,western,109,42
241,KE201500000243,KE,2015.0,243.0,R,0.616486,34.250503,9999.0,1152.0,WGS84,POINT (34.250503 0.616486),243,20,8,0,20,20,20,243,27,26,52,4,119,243,120,0,97,western,97,23
242,KE201500000244,KE,2015.0,244.0,R,0.54432,34.236645,9999.0,1234.0,WGS84,POINT (34.236645 0.54432),244,19,4,0,19,19,15,244,28,25,51,4,133,244,134,0,91,western,91,43
243,KE201500000245,KE,2015.0,245.0,U,0.625001,34.28438,9999.0,1156.0,WGS84,POINT (34.28438 0.625001),245,8,4,8,0,7,6,245,26,23,45,3,83,245,84,84,74,western,74,10
244,KE201500000246,KE,2015.0,246.0,U,0.474045,34.136326,9999.0,1183.0,WGS84,POINT (34.136326 0.474045),246,17,6,17,0,17,13,246,29,26,57,5,165,246,165,165,92,western,92,72
