,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
72,KE201500000073,KE,2015.0,73.0,U,-3.381375,38.582165,9999.0,580.0,WGS84,POINT (38.582165 -3.381375),73,10,4,10,0,9,9,73,27,24,48,2,78,73,81,81,60,coast,60,20
73,KE201500000074,KE,2015.0,74.0,U,-3.417676,38.352798,9999.0,1396.0,WGS84,POINT (38.352798 -3.417676),74,6,2,6,0,6,4,74,22,20,52,2,65,74,65,65,44,coast,44,21
74,KE201500000075,KE,2015.0,75.0,U,-3.394437,37.675953,9999.0,789.0,WGS84,POINT (37.675953 -3.394437),75,13,4,13,0,12,11,75,26,22,38,2,63,75,63,63,49,coast,49,14
75,KE201500000076,KE,2015.0,76.0,R,3.656986,37.353585,9999.0,483.0,WGS84,POINT (37.353585 3.656986),76,19,0,0,19,19,0,76,26,7,7,2,75,76,75,0,2,eastern,2,73
76,KE201500000077,KE,2015.0,77.0,R,1.795652,37.486838,9999.0,600.0,WGS84,POINT (37.486838 1.795652),77,26,4,0,26,26,0,77,24,0,0,3,83,77,83,0,0,eastern,0,83
77,KE201500000078,KE,2015.0,78.0,U,2.315242,37.985914,9999.0,1344.0,WGS84,POINT (37.985914 2.315242),78,7,1,7,0,7,1,78,22,12,17,3,86,78,88,88,9,eastern,9,78
78,KE201500000079,KE,2015.0,79.0,U,3.530273,39.070401,9999.0,1095.0,WGS84,POINT (39.070401 3.530273),79,16,4,16,0,16,9,79,25,13,20,3,89,79,90,90,25,eastern,25,65
79,KE201500000080,KE,2015.0,80.0,R,0.592511,37.277353,9999.0,1022.0,WGS84,POINT (37.277353 0.592511),80,16,3,0,16,16,10,80,24,15,24,4,103,80,103,0,54,eastern,54,49
80,KE201500000081,KE,2015.0,81.0,R,0.733972,39.169886,9999.0,261.0,WGS84,POINT (39.169886 0.733972),81,10,0,0,10,10,5,81,24,13,22,4,110,81,111,0,24,eastern,24,87
81,KE201500000082,KE,2015.0,82.0,U,0.359367,37.578603,9999.0,1093.0,WGS84,POINT (37.578603 0.359367),82,16,5,16,0,15,10,82,26,23,53,5,132,82,141,141,96,eastern,96,41
82,KE201500000083,KE,2015.0,83.0,U,0.526084,38.492661,9999.0,516.0,WGS84,POINT (38.492661 0.526084),83,17,1,17,0,16,5,83,23,13,27,5,117,83,118,118,40,eastern,40,78
83,KE201500000084,KE,2015.0,84.0,R,0.028611,37.145657,9999.0,2011.0,WGS84,POINT (37.145657 0.028611),84,11,1,0,11,11,8,84,28,20,28,3,91,84,93,0,50,eastern,50,43
84,KE201500000085,KE,2015.0,85.0,R,0.250546,37.970987,9999.0,1284.0,WGS84,POINT (37.970987 0.250546),85,14,4,0,14,14,10,85,29,20,24,3,89,85,90,0,40,eastern,40,48
85,KE201500000086,KE,2015.0,86.0,U,0.069628,37.6574,9999.0,1537.0,WGS84,POINT (37.6574 0.069628),86,10,4,10,0,9,8,86,25,17,30,2,61,86,65,65,45,eastern,45,20
86,KE201500000087,KE,2015.0,87.0,U,0.339148,37.935555,9999.0,1766.0,WGS84,POINT (37.935555 0.339148),87,10,5,10,0,10,5,87,24,7,9,2,51,87,51,51,17,eastern,17,34
87,KE201500000088,KE,2015.0,88.0,R,-0.300635,37.633157,9999.0,1451.0,WGS84,POINT (37.633157 -0.300635),88,14,6,0,14,13,11,88,29,17,31,3,91,88,95,0,51,eastern,51,44
88,KE201500000089,KE,2015.0,89.0,R,-0.184505,38.024035,9999.0,576.0,WGS84,POINT (38.024035 -0.184505),89,17,6,0,17,17,14,89,25,24,42,3,84,89,85,0,64,eastern,64,21
89,KE201500000090,KE,2015.0,90.0,U,-0.335717,37.658839,9999.0,1379.0,WGS84,POINT (37.658839 -0.335717),90,3,2,3,0,3,0,90,18,7,9,1,34,90,34,34,10,eastern,10,24
90,KE201500000091,KE,2015.0,91.0,U,-0.336192,37.696146,9999.0,1212.0,WGS84,POINT (37.696146 -0.336192),91,5,3,5,0,5,5,91,28,14,27,2,62,91,66,66,26,eastern,26,40
91,KE201500000092,KE,2015.0,92.0,R,-0.379057,37.474444,9999.0,1843.0,WGS84,POINT (37.474444 -0.379057),92,12,6,0,12,12,5,92,30,15,29,3,108,92,110,0,29,eastern,29,81
92,KE201500000093,KE,2015.0,93.0,R,-0.383309,37.887883,9999.0,606.0,WGS84,POINT (37.887883 -0.383309),93,13,3,0,13,13,8,93,28,19,42,4,117,93,118,0,51,eastern,51,67
93,KE201500000094,KE,2015.0,94.0,U,-0.548235,37.454133,9999.0,1321.0,WGS84,POINT (37.454133 -0.548235),94,12,2,12,0,11,6,94,24,15,27,2,69,94,70,70,40,eastern,40,30
94,KE201500000095,KE,2015.0,95.0,U,-0.538762,37.514863,9999.0,1256.0,WGS84,POINT (37.514863 -0.538762),95,7,2,7,0,7,5,95,28,22,51,3,92,95,93,93,58,eastern,58,34
95,KE201500000096,KE,2015.0,96.0,R,-1.794304,38.208448,9999.0,875.0,WGS84,POINT (38.208448 -1.794304),96,11,4,0,11,11,7,96,25,16,27,4,107,96,108,0,35,eastern,35,73
96,KE201500000097,KE,2015.0,97.0,R,-0.290705,38.35576,9999.0,592.0,WGS84,POINT (38.35576 -0.290705),97,24,12,0,24,24,10,97,29,15,27,4,135,97,139,0,34,eastern,34,103
97,KE201500000098,KE,2015.0,98.0,U,-1.379369,38.01663,9999.0,1148.0,WGS84,POINT (38.01663 -1.379369),98,14,4,14,0,13,8,98,25,20,37,3,86,98,87,87,52,eastern,52,35
98,KE201500000099,KE,2015.0,99.0,U,-0.946572,38.051118,9999.0,1009.0,WGS84,POINT (38.051118 -0.946572),99,8,1,8,0,8,7,99,27,17,25,2,68,99,68,68,32,eastern,32,36
99,KE201500000100,KE,2015.0,100.0,R,-1.451441,37.341535,9999.0,1372.0,WGS84,POINT (37.341535 -1.451441),100,20,8,0,20,20,9,100,29,18,26,4,139,100,139,0,37,eastern,37,102
100,KE201500000101,KE,2015.0,101.0,R,-1.422406,37.426768,9999.0,1279.0,WGS84,POINT (37.426768 -1.422406),101,14,10,0,14,14,7,101,28,16,31,3,108,101,108,0,46,eastern,46,62
101,KE201500000102,KE,2015.0,102.0,R,-0.845841,37.241692,9999.0,1253.0,WGS84,POINT (37.241692 -0.845841),102,14,10,0,14,14,10,102,30,16,27,3,114,102,114,0,40,eastern,40,74
102,KE201500000103,KE,2015.0,103.0,U,-1.41096,36.966117,9999.0,1582.0,WGS84,POINT (36.966117 -1.41096),103,28,6,28,0,28,5,103,28,16,33,4,121,103,129,129,47,eastern,47,82
103,KE201500000104,KE,2015.0,104.0,U,-1.51018,37.258172,9999.0,1607.0,WGS84,POINT (37.258172 -1.51018),104,8,4,8,0,8,6,104,26,24,47,2,59,104,61,61,50,eastern,50,11
104,KE201500000105,KE,2015.0,105.0,U,-1.287746,37.391407,9999.0,1639.0,WGS84,POINT (37.391407 -1.287746),105,10,2,10,0,10,1,105,26,12,16,3,96,105,97,97,15,eastern,15,82
105,KE201500000106,KE,2015.0,106.0,R,-1.651281,37.572966,9999.0,1225.0,WGS84,POINT (37.572966 -1.651281),106,18,8,0,18,18,12,106,30,20,38,4,140,106,142,0,48,eastern,48,92
106,KE201500000107,KE,2015.0,107.0,R,-1.972459,37.361659,9999.0,1326.0,WGS84,POINT (37.361659 -1.972459),107,10,4,0,10,9,6,107,28,22,46,3,91,107,93,0,37,eastern,37,50
107,KE201500000108,KE,2015.0,108.0,U,-1.791109,37.361888,9999.0,1994.0,WGS84,POINT (37.361888 -1.791109),108,9,6,9,0,8,4,108,23,10,17,3,82,108,85,85,10,eastern,10,75
108,KE201500000109,KE,2015.0,109.0,U,-1.808864,37.707638,9999.0,1085.0,WGS84,POINT (37.707638 -1.808864),109,15,7,15,0,14,8,109,30,17,31,4,138,109,141,141,40,eastern,40,101
109,KE201500000110,KE,2015.0,110.0,R,0.150711,39.441583,9999.0,266.0,WGS84,POINT (39.441583 0.150711),110,12,10,0,12,11,0,110,21,2,2,5,106,110,106,0,0,north eastern,0,101
110,KE201500000111,KE,2015.0,111.0,R,0.17601,40.245118,9999.0,125.0,WGS84,POINT (40.245118 0.17601),111,15,9,0,15,14,0,111,20,3,4,5,110,111,110,0,2,north eastern,2,105
111,KE201500000112,KE,2015.0,112.0,U,-0.42644,39.626809,9999.0,142.0,WGS84,POINT (39.626809 -0.42644),112,19,6,19,0,19,8,112,25,19,52,4,107,112,108,108,33,north eastern,33,28
112,KE201500000113,KE,2015.0,113.0,U,-0.425693,39.667767,9999.0,167.0,WGS84,POINT (39.667767 -0.425693),113,30,1,30,0,30,19,113,26,22,51,6,171,113,171,171,81,north eastern,81,75
113,KE201500000114,KE,2015.0,114.0,R,0.214897,40.313051,9999.0,132.0,WGS84,POINT (40.313051 0.214897),114,18,0,0,18,17,5,114,24,9,12,3,85,114,86,0,24,north eastern,24,62
114,KE201500000115,KE,2015.0,115.0,R,2.069992,39.030162,9999.0,342.0,WGS84,POINT (39.030162 2.069992),115,41,9,0,41,39,24,115,28,16,35,5,154,115,155,0,76,north eastern,76,79
115,KE201500000116,KE,2015.0,116.0,U,1.759892,40.009362,9999.0,264.0,WGS84,POINT (40.009362 1.759892),116,17,3,17,0,16,8,116,27,16,19,4,121,116,121,121,46,north eastern,46,75
116,KE201500000117,KE,2015.0,117.0,U,1.73555,40.056094,9999.0,259.0,WGS84,POINT (40.056094 1.73555),117,35,6,35,0,34,23,117,27,21,44,5,146,117,146,146,84,north eastern,84,62
117,KE201500000118,KE,2015.0,118.0,R,3.925602,41.242281,9999.0,282.0,WGS84,POINT (41.242281 3.925602),118,38,9,0,38,37,19,118,28,16,24,5,144,118,144,0,55,north eastern,55,89
118,KE201500000119,KE,2015.0,119.0,R,3.329909,39.831894,9999.0,719.0,WGS84,POINT (39.831894 3.329909),119,13,4,0,13,13,2,119,12,7,9,6,75,119,75,0,16,north eastern,16,59
119,KE201500000120,KE,2015.0,120.0,U,2.814653,40.939408,9999.0,385.0,WGS84,POINT (40.939408 2.814653),120,17,3,17,0,17,12,120,20,18,43,6,126,120,126,126,79,north eastern,79,43
120,KE201500000121,KE,2015.0,121.0,U,3.936035,41.855957,9999.0,213.0,WGS84,POINT (41.855957 3.936035),121,18,4,18,0,18,8,121,24,11,18,4,106,121,106,106,32,north eastern,32,74
121,KE201500000122,KE,2015.0,122.0,R,0.097049,34.325073,9999.0,1242.0,WGS84,POINT (34.325073 0.097049),122,11,4,0,11,11,11,122,30,29,62,3,102,122,102,0,84,nyanza,84,18
122,KE201500000123,KE,2015.0,123.0,R,0.09418,34.160814,9999.0,1219.0,WGS84,POINT (34.160814 0.09418),123,8,4,0,8,8,8,123,28,28,66,3,96,123,96,0,87,nyanza,87,9
123,KE201500000124,KE,2015.0,124.0,R,0.027341,34.07409,9999.0,1172.0,WGS84,POINT (34.07409 0.027341),124,16,14,0,16,16,15,124,25,24,59,4,104,124,104,0,97,nyanza,97,7
124,KE201500000125,KE,2015.0,125.0,R,-0.167817,34.380882,9999.0,1186.0,WGS84,POINT (34.380882 -0.167817),125,13,11,0,13,13,13,125,26,26,65,3,103,125,103,0,89,nyanza,89,14
125,KE201500000126,KE,2015.0,126.0,U,0.057328,34.294138,9999.0,1322.0,WGS84,POINT (34.294138 0.057328),126,12,2,12,0,12,9,126,28,26,74,4,112,126,112,112,88,nyanza,88,20
126,KE201500000127,KE,2015.0,127.0,U,-0.129567,34.253357,9999.0,1234.0,WGS84,POINT (34.253357 -0.129567),127,12,7,12,0,11,11,127,28,27,57,3,92,127,92,92,81,nyanza,81,11
127,KE201500000128,KE,2015.0,128.0,R,-0.196044,34.827977,9999.0,1142.0,WGS84,POINT (34.827977 -0.196044),128,10,6,0,10,10,7,128,30,26,56,3,118,128,118,0,80,nyanza,80,37
128,KE201500000129,KE,2015.0,129.0,R,-0.138848,34.995867,9999.0,1185.0,WGS84,POINT (34.995867 -0.138848),129,14,8,0,14,14,11,129,29,29,70,4,129,129,129,0,111,nyanza,111,18
129,KE201500000130,KE,2015.0,130.0,R,-0.350775,34.872324,9999.0,1446.0,WGS84,POINT (34.872324 -0.350775),130,18,9,0,18,17,12,130,27,26,70,6,165,130,168,0,128,nyanza,128,40
130,KE201500000131,KE,2015.0,131.0,U,-0.083807,34.78486,9999.0,1165.0,WGS84,POINT (34.78486 -0.083807),131,9,4,9,0,9,9,131,27,25,55,3,98,131,100,100,90,nyanza,90,10
131,KE201500000132,KE,2015.0,132.0,U,-0.070056,34.719837,9999.0,1195.0,WGS84,POINT (34.719837 -0.070056),132,14,8,14,0,12,9,132,29,27,66,3,109,132,116,116,90,nyanza,90,26
132,KE201500000133,KE,2015.0,133.0,U,-0.088817,35.12702,9999.0,1257.0,WGS84,POINT (35.12702 -0.088817),133,11,7,11,0,11,9,133,29,29,54,2,76,133,76,76,65,nyanza,65,11
133,KE201500000134,KE,2015.0,134.0,R,-0.953952,34.148486,9999.0,1134.0,WGS84,POINT (34.148486 -0.953952),134,20,7,0,20,18,8,134,25,22,51,4,117,134,121,0,51,nyanza,51,54
134,KE201500000135,KE,2015.0,135.0,R,-0.851113,34.427742,9999.0,1441.0,WGS84,POINT (34.427742 -0.851113),135,28,15,0,28,26,14,135,28,28,92,5,147,135,157,0,109,nyanza,109,40
135,KE201500000136,KE,2015.0,136.0,R,-1.155044,34.410651,9999.0,1449.0,WGS84,POINT (34.410651 -1.155044),136,23,12,0,23,22,17,136,27,24,56,5,136,136,136,0,105,nyanza,105,31
136,KE201500000137,KE,2015.0,137.0,U,-1.064152,34.445913,9999.0,1425.0,WGS84,POINT (34.445913 -1.064152),137,15,5,15,0,15,6,137,25,21,54,3,94,137,99,99,55,nyanza,55,35
137,KE201500000138,KE,2015.0,138.0,U,-0.894459,34.531942,9999.0,1474.0,WGS84,POINT (34.531942 -0.894459),138,4,3,4,0,4,4,138,30,29,77,3,116,138,122,122,56,nyanza,56,44
138,KE201500000139,KE,2015.0,139.0,R,-0.773328,34.23827,9999.0,1373.0,WGS84,POINT (34.23827 -0.773328),139,14,6,0,14,13,10,139,26,26,75,4,110,139,118,0,86,nyanza,86,32
139,KE201500000140,KE,2015.0,140.0,R,-0.486328,34.369811,9999.0,1206.0,WGS84,POINT (34.369811 -0.486328),140,25,15,0,25,24,19,140,28,27,84,5,151,140,158,0,106,nyanza,106,46
140,KE201500000141,KE,2015.0,141.0,R,-0.419925,34.636084,9999.0,1212.0,WGS84,POINT (34.636084 -0.419925),141,11,6,0,11,10,6,141,28,28,92,4,123,141,124,0,97,nyanza,97,24
141,KE201500000142,KE,2015.0,142.0,R,-0.505061,34.629608,9999.0,1319.0,WGS84,POINT (34.629608 -0.505061),142,16,6,0,16,13,9,142,27,26,78,4,119,142,122,0,85,nyanza,85,35
142,KE201500000143,KE,2015.0,143.0,U,-0.53428,34.440187,9999.0,1162.0,WGS84,POINT (34.440187 -0.53428),143,10,8,10,0,10,7,143,23,21,56,3,79,143,80,80,58,nyanza,58,11
143,KE201500000144,KE,2015.0,144.0,U,-0.531246,34.177993,9999.0,1141.0,WGS84,POINT (34.177993 -0.531246),144,15,6,15,0,13,9,144,26,24,51,3,96,144,98,98,70,nyanza,70,17
144,KE201500000145,KE,2015.0,145.0,R,-0.563509,34.810097,9999.0,1592.0,WGS84,POINT (34.810097 -0.563509),145,16,7,0,16,16,10,145,30,15,26,4,131,145,134,0,57,nyanza,57,77
145,KE201500000146,KE,2015.0,146.0,R,-0.884014,34.810465,9999.0,1798.0,WGS84,POINT (34.810465 -0.884014),146,8,4,0,8,8,3,146,28,19,39,4,126,146,126,0,57,nyanza,57,69
146,KE201500000147,KE,2015.0,147.0,R,-0.76546,34.629237,9999.0,1779.0,WGS84,POINT (34.629237 -0.76546),147,16,1,0,16,15,9,147,28,21,44,4,112,147,112,0,71,nyanza,71,41
147,KE201500000148,KE,2015.0,148.0,U,-0.643486,34.759825,9999.0,1662.0,WGS84,POINT (34.759825 -0.643486),148,12,10,12,0,12,9,148,27,21,61,4,112,148,114,114,78,nyanza,78,36
148,KE201500000149,KE,2015.0,149.0,U,-0.81416,34.908996,9999.0,2011.0,WGS84,POINT (34.908996 -0.81416),149,11,2,11,0,11,8,149,28,16,33,3,96,149,99,99,47,nyanza,47,52
149,KE201500000150,KE,2015.0,150.0,R,-0.707191,35.020759,9999.0,1951.0,WGS84,POINT (35.020759 -0.707191),150,10,1,0,10,9,5,150,28,20,57,3,92,150,92,0,56,nyanza,56,36
150,KE201500000151,KE,2015.0,151.0,R,-0.555818,34.986905,9999.0,2050.0,WGS84,POINT (34.986905 -0.555818),151,13,3,0,13,13,7,151,26,14,37,3,99,151,102,0,44,nyanza,44,55
151,KE201500000152,KE,2015.0,152.0,R,-0.643479,34.873955,9999.0,2042.0,WGS84,POINT (34.873955 -0.643479),152,2,1,0,2,2,2,152,19,13,26,3,61,152,63,0,30,nyanza,30,33
152,KE201500000153,KE,2015.0,153.0,U,-0.60881,34.954111,9999.0,1992.0,WGS84,POINT (34.954111 -0.60881),153,8,2,8,0,8,5,153,30,18,34,3,108,153,108,108,47,nyanza,47,61
153,KE201500000154,KE,2015.0,154.0,U,-0.587678,34.940003,9999.0,2019.0,WGS84,POINT (34.940003 -0.587678),154,15,7,15,0,15,11,154,29,23,50,4,133,154,134,134,82,nyanza,82,52
154,KE201500000155,KE,2015.0,155.0,R,3.203883,35.245324,9999.0,617.0,WGS84,POINT (35.245324 3.203883),155,19,7,0,19,19,7,155,20,6,7,5,105,155,106,0,18,rift valley,18,88
155,KE201500000156,KE,2015.0,156.0,R,2.320613,35.634011,9999.0,833.0,WGS84,POINT (35.634011 2.320613),156,21,8,0,21,21,0,156,21,1,1,4,90,156,90,0,2,rift valley,2,88
156,KE201500000157,KE,2015.0,157.0,U,3.111219,35.608214,9999.0,500.0,WGS84,POINT (35.608214 3.111219),157,17,5,17,0,16,2,157,20,11,15,3,79,157,83,83,13,north eastern,13,68
157,KE201500000158,KE,2015.0,158.0,U,4.218075,34.343536,9999.0,646.0,WGS84,POINT (34.343536 4.218075),158,12,3,12,0,12,2,158,16,4,5,4,64,158,64,64,9,rift valley,9,55
158,KE201500000159,KE,2015.0,159.0,R,1.602192,35.245271,9999.0,1971.0,WGS84,POINT (35.245271 1.602192),159,40,14,0,40,40,35,159,25,23,64,6,155,159,155,0,113,rift valley,113,42
159,KE201500000160,KE,2015.0,160.0,R,1.90707,35.284654,9999.0,1202.0,WGS84,POINT (35.284654 1.90707),160,36,23,0,36,36,33,160,30,28,75,4,123,160,123,0,101,rift valley,101,22
160,KE201500000161,KE,2015.0,161.0,R,1.383243,35.426775,9999.0,2994.0,WGS84,POINT (35.426775 1.383243),161,33,15,0,33,33,16,161,29,28,90,5,167,161,167,0,69,rift valley,69,98
161,KE201500000162,KE,2015.0,162.0,U,1.290676,35.17012,9999.0,2247.0,WGS84,POINT (35.17012 1.290676),162,26,3,26,0,26,16,162,29,21,54,4,135,162,135,135,61,rift valley,61,74
162,KE201500000163,KE,2015.0,163.0,U,1.252557,35.09345,9999.0,2048.0,WGS84,POINT (35.09345 1.252557),163,27,7,27,0,27,22,163,30,22,53,4,143,163,144,144,86,rift valley,86,58
163,KE201500000164,KE,2015.0,164.0,R,0.875272,36.804193,9999.0,1788.0,WGS84,POINT (36.804193 0.875272),164,15,4,0,15,15,0,164,21,0,0,4,86,164,86,0,0,rift valley,0,86
164,KE201500000165,KE,2015.0,165.0,R,1.657566,37.212171,9999.0,1149.0,WGS84,POINT (37.212171 1.657566),165,16,6,0,16,16,0,165,24,1,1,4,112,165,114,0,1,rift valley,1,113
165,KE201500000166,KE,2015.0,166.0,U,1.097177,36.696781,9999.0,1939.0,WGS84,POINT (36.696781 1.097177),166,7,6,7,0,7,3,166,19,8,9,2,50,166,51,51,17,rift valley,17,29
166,KE201500000167,KE,2015.0,167.0,U,0.580907,37.499798,9999.0,882.0,WGS84,POINT (37.499798 0.580907),167,3,0,3,0,3,1,167,26,26,26,1,30,167,30,30,18,rift valley,18,1
167,KE201500000168,KE,2015.0,168.0,R,0.865323,34.838101,9999.0,1698.0,WGS84,POINT (34.838101 0.865323),168,17,3,0,17,16,4,168,30,16,27,4,129,168,130,0,41,rift valley,41,89
168,KE201500000169,KE,2015.0,169.0,R,1.017386,35.168604,9999.0,1869.0,WGS84,POINT (35.168604 1.017386),169,19,4,0,19,19,11,169,28,18,41,4,120,169,126,0,59,rift valley,59,67
169,KE201500000170,KE,2015.0,170.0,R,1.130322,34.931219,9999.0,1869.0,WGS84,POINT (34.931219 1.130322),170,15,2,0,15,14,9,170,30,17,32,4,132,170,138,0,60,rift valley,60,78
170,KE201500000171,KE,2015.0,171.0,U,1.02235,34.9904,9999.0,1883.0,WGS84,POINT (34.9904 1.02235),171,14,0,14,0,14,11,171,28,22,41,3,103,171,106,106,70,rift valley,70,34
171,KE201500000172,KE,2015.0,172.0,U,1.04348,34.970568,9999.0,1832.0,WGS84,POINT (34.970568 1.04348),172,25,10,25,0,23,15,172,28,23,39,4,124,172,132,132,73,rift valley,73,59
172,KE201500000173,KE,2015.0,173.0,R,0.344374,36.222888,9999.0,2119.0,WGS84,POINT (36.222888 0.344374),173,22,8,0,22,21,5,173,26,10,19,4,118,173,118,0,27,rift valley,27,91
173,KE201500000175,KE,2015.0,175.0,R,0.173549,36.106008,9999.0,1574.0,WGS84,POINT (36.106008 0.173549),175,20,3,0,20,20,9,175,28,18,34,5,143,175,144,0,46,rift valley,46,98
174,KE201500000176,KE,2015.0,176.0,U,0.487394,35.74335,9999.0,2037.0,WGS84,POINT (35.74335 0.487394),176,15,8,15,0,15,13,176,26,19,36,3,80,176,80,80,57,rift valley,57,23
175,KE201500000177,KE,2015.0,177.0,U,0.046862,35.727755,9999.0,2107.0,WGS84,POINT (35.727755 0.046862),177,18,3,18,0,17,12,177,25,20,35,3,85,177,85,85,57,rift valley,57,28
176,KE201500000178,KE,2015.0,178.0,R,0.760994,35.148339,9999.0,1908.0,WGS84,POINT (35.148339 0.760994),178,16,8,0,16,16,10,178,27,24,64,4,119,178,119,0,73,rift valley,73,46
177,KE201500000179,KE,2015.0,179.0,R,0.187157,35.552377,9999.0,2578.0,WGS84,POINT (35.552377 0.187157),179,16,6,0,16,16,4,179,30,10,17,3,94,179,95,0,16,rift valley,16,79
178,KE201500000180,KE,2015.0,180.0,R,0.314624,35.327969,9999.0,2175.0,WGS84,POINT (35.327969 0.314624),180,25,12,0,25,25,19,180,29,28,78,4,138,180,143,0,97,rift valley,97,46
179,KE201500000181,KE,2015.0,181.0,U,0.86832,35.116085,9999.0,1824.0,WGS84,POINT (35.116085 0.86832),181,14,12,14,0,13,9,181,26,16,28,3,92,181,94,94,47,rift valley,47,47
180,KE201500000182,KE,2015.0,182.0,U,0.528239,35.256068,9999.0,2053.0,WGS84,POINT (35.256068 0.528239),182,9,1,9,0,7,3,182,27,15,20,2,64,182,67,67,21,rift valley,21,46
181,KE201500000183,KE,2015.0,183.0,U,0.542019,35.316789,9999.0,2156.0,WGS84,POINT (35.316789 0.542019),183,11,4,11,0,10,8,183,25,19,39,2,71,183,74,74,47,rift valley,47,27
182,KE201500000184,KE,2015.0,184.0,R,0.989896,35.459122,9999.0,2591.0,WGS84,POINT (35.459122 0.989896),184,18,5,0,18,17,2,184,29,2,3,4,122,184,128,0,4,rift valley,4,124
183,KE201500000185,KE,2015.0,185.0,R,0.298492,35.701442,9999.0,1426.0,WGS84,POINT (35.701442 0.298492),185,17,5,0,17,16,8,185,28,14,23,4,130,185,130,0,37,rift valley,37,93
184,KE201500000186,KE,2015.0,186.0,U,0.989416,35.547058,9999.0,2291.0,WGS84,POINT (35.547058 0.989416),186,8,2,8,0,8,2,186,23,10,15,2,65,186,66,66,16,rift valley,16,50
185,KE201500000187,KE,2015.0,187.0,U,0.637726,35.474157,9999.0,2330.0,WGS84,POINT (35.474157 0.637726),187,19,10,19,0,19,7,187,30,15,23,4,139,187,142,142,32,rift valley,32,110
186,KE201500000188,KE,2015.0,188.0,R,0.478621,35.146043,9999.0,1959.0,WGS84,POINT (35.146043 0.478621),188,11,7,0,11,10,0,188,28,14,32,3,107,188,107,0,13,rift valley,13,94
187,KE201500000189,KE,2015.0,189.0,R,0.056697,35.219799,9999.0,1991.0,WGS84,POINT (35.219799 0.056697),189,22,12,0,22,22,8,189,29,24,57,4,132,189,132,0,71,rift valley,71,61
188,KE201500000190,KE,2015.0,190.0,R,0.020925,34.811755,9999.0,1419.0,WGS84,POINT (34.811755 0.020925),190,13,3,0,13,12,10,190,28,27,76,3,105,190,108,0,88,rift valley,88,20
189,KE201500000191,KE,2015.0,191.0,U,0.192955,35.07558,9999.0,1965.0,WGS84,POINT (35.07558 0.192955),191,19,14,19,0,17,12,191,25,16,29,4,112,191,113,113,50,rift valley,50,63
190,KE201500000192,KE,2015.0,192.0,U,0.222568,35.171655,9999.0,1970.0,WGS84,POINT (35.171655 0.222568),192,11,6,11,0,11,8,192,28,23,39,4,116,192,116,116,65,rift valley,65,51
191,KE201500000193,KE,2015.0,193.0,R,-0.151844,36.942464,9999.0,1894.0,WGS84,POINT (36.942464 -0.151844),193,7,2,0,7,7,1,193,25,4,5,2,72,193,72,0,6,rift valley,6,66
192,KE201500000194,KE,2015.0,194.0,R,0.52754,36.55298,9999.0,1917.0,WGS84,POINT (36.55298 0.52754),194,40,4,0,40,37,0,194,29,0,0,4,136,194,137,0,0,rift valley,0,137
193,KE201500000195,KE,2015.0,195.0,R,0.274013,36.54049,9999.0,1838.0,WGS84,POINT (36.54049 0.274013),195,14,3,0,14,14,9,195,29,17,26,3,101,195,101,0,46,rift valley,46,55
194,KE201500000196,KE,2015.0,196.0,U,0.021378,37.075456,9999.0,1910.0,WGS84,POINT (37.075456 0.021378),196,8,1,8,0,7,1,196,29,8,14,2,67,196,69,69,19,rift valley,19,50
195,KE201500000197,KE,2015.0,197.0,U,0.035882,36.355078,9999.0,2355.0,WGS84,POINT (36.355078 0.035882),197,13,5,13,0,13,9,197,29,15,26,2,72,197,78,78,30,rift valley,30,48
196,KE201500000198,KE,2015.0,198.0,R,-0.063859,36.078409,9999.0,1656.0,WGS84,POINT (36.078409 -0.063859),198,24,6,0,24,24,6,198,25,4,6,4,103,198,105,0,16,rift valley,16,89
