,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
28,KE202000000527,KE,2020.0,527.0,R,-1.311582,36.49947,9999.0,1520.0,WGS84,POINT (36.49946996 -1.311582136),527,12,0,0,12,12,0,527,23,3,6,4,99,527,99,0,rift valley,2,94
29,KE202000000550,KE,2020.0,550.0,R,0.237279,34.689729,9999.0,1446.0,WGS84,POINT (34.68972874 0.237278704),550,14,5,0,14,14,9,550,30,25,55,4,122,550,124,0,western,65,53
30,KE202000000559,KE,2020.0,559.0,R,0.803374,35.133722,9999.0,1844.0,WGS84,POINT (35.13372185 0.803374255),559,14,2,0,14,12,6,559,24,19,50,4,106,559,106,0,western,61,45
31,KE202000000569,KE,2020.0,569.0,R,0.14938,34.821633,9999.0,1551.0,WGS84,POINT (34.82163285 0.149380499),569,15,3,0,15,15,9,569,29,22,44,4,125,569,126,0,western,58,67
32,KE202000000580,KE,2020.0,580.0,R,0.016099,34.592356,9999.0,1542.0,WGS84,POINT (34.5923558 0.016098716),580,5,2,0,5,5,3,580,27,17,32,2,76,580,77,0,western,36,41
33,KE202000000619,KE,2020.0,619.0,R,0.024857,34.548762,9999.0,1471.0,WGS84,POINT (34.5487618 0.02485711),619,7,2,0,7,7,5,619,30,24,33,3,106,619,106,0,nyanza,46,60
34,KE202000000631,KE,2020.0,631.0,R,-0.07203,35.015216,9999.0,1189.0,WGS84,POINT (35.01521564 -0.072030226),631,12,0,0,12,12,7,631,28,21,35,4,120,631,120,0,nyanza,52,65
35,KE202000000662,KE,2020.0,662.0,R,-0.867756,34.771874,9999.0,1868.0,WGS84,POINT (34.77187424 -0.867755558),662,3,0,0,3,3,1,662,27,13,31,3,99,662,99,0,nyanza,36,63
36,KE202000000714,KE,2020.0,714.0,U,-1.31396,36.858353,9999.0,1648.0,WGS84,POINT (36.85835312 -1.31395972),714,15,1,15,0,14,3,714,24,11,12,2,57,714,57,57,nairobi,13,36
37,KE202000000793,KE,2020.0,793.0,U,-4.270849,39.588812,9999.0,19.0,WGS84,POINT (39.58881223 -4.270849003),793,6,2,6,0,6,4,793,24,16,40,3,82,793,83,83,coast,51,29
38,KE202000000807,KE,2020.0,807.0,U,-3.941097,39.742091,9999.0,23.0,WGS84,POINT (39.74209074 -3.941097335),807,11,5,11,0,11,4,807,23,15,26,3,70,807,70,70,coast,26,30
39,KE202000000826,KE,2020.0,826.0,U,-2.372372,40.679674,9999.0,10.0,WGS84,POINT (40.67967421 -2.372371821),826,9,2,9,0,9,3,826,25,23,44,2,72,826,72,72,coast,29,18
40,KE202000000847,KE,2020.0,847.0,U,-0.449572,39.663432,9999.0,153.0,WGS84,POINT (39.66343227 -0.449571526),847,16,4,16,0,16,1,847,21,19,59,5,118,847,118,118,north eastern,14,31
41,KE202000000882,KE,2020.0,882.0,U,0.511171,38.505285,9999.0,517.0,WGS84,POINT (38.50528533 0.511171415),882,5,1,5,0,5,5,882,9,4,10,3,34,882,34,34,eastern,18,16
42,KE202000000980,KE,2020.0,980.0,U,1.091156,36.694708,9999.0,1939.0,WGS84,POINT (36.6947077 1.091155777),980,12,1,12,0,12,6,980,22,12,19,3,72,980,72,72,rift valley,24,41
43,KE202000000988,KE,2020.0,988.0,U,1.035917,34.981285,9999.0,1828.0,WGS84,POINT (34.98128493 1.03591674),988,16,4,16,0,16,13,988,29,21,37,3,103,988,103,103,rift valley,68,34
44,KE202000001026,KE,2020.0,1026.0,U,0.671062,35.505539,9999.0,2334.0,WGS84,POINT (35.50553937 0.671062326),1026,7,2,7,0,7,5,1026,27,13,18,1,49,1026,50,50,rift valley,23,27
45,KE202000001079,KE,2020.0,1079.0,U,-1.100406,35.889936,9999.0,1898.0,WGS84,POINT (35.88993572 -1.100405563),1079,6,1,6,0,6,4,1079,22,11,20,2,58,1079,58,58,rift valley,17,41
46,KE202000001148,KE,2020.0,1148.0,U,0.187689,34.303033,9999.0,1268.0,WGS84,POINT (34.3030331 0.187688841),1148,13,2,13,0,13,10,1148,30,25,44,3,94,1148,94,94,nyanza,68,19
47,KE202000001157,KE,2020.0,1157.0,U,-0.068329,34.769942,9999.0,1171.0,WGS84,POINT (34.76994175 -0.068328913),1157,8,1,8,0,8,4,1157,29,24,72,3,114,1157,114,114,nyanza,79,24
48,KE202000001162,KE,2020.0,1162.0,U,-0.118058,34.779858,9999.0,1150.0,WGS84,POINT (34.77985789 -0.118058316),1162,12,5,12,0,12,9,1162,25,24,47,3,85,1162,85,85,nyanza,56,16
49,KE202000001207,KE,2020.0,1207.0,U,-0.561194,37.483721,9999.0,1292.0,WGS84,POINT (37.48372134 -0.561193774),1207,10,3,10,0,10,7,1207,26,19,33,2,72,1207,72,72,eastern,24,32
50,KE202000001214,KE,2020.0,1214.0,U,-1.458256,38.059503,9999.0,1025.0,WGS84,POINT (38.05950338 -1.458255696),1214,17,2,17,0,17,6,1214,29,13,28,4,139,1214,142,142,eastern,44,96
51,KE202000001226,KE,2020.0,1226.0,U,-0.166211,36.507549,9999.0,2653.0,WGS84,POINT (36.50754906 -0.166210611),1226,13,1,13,0,13,1,1226,29,1,2,3,99,1226,99,99,central,2,97
52,KE202000001261,KE,2020.0,1261.0,U,0.625489,35.48381,9999.0,2332.0,WGS84,POINT (35.48381044 0.625488923),1261,9,1,9,0,9,5,1261,29,9,14,2,85,1261,86,86,rift valley,25,61
53,KE202000001295,KE,2020.0,1295.0,U,0.833902,35.125583,9999.0,1838.0,WGS84,POINT (35.12558254 0.833902241),1295,10,2,10,0,10,3,1295,25,15,24,3,97,1295,97,97,western,26,68
54,KE202000001340,KE,2020.0,1340.0,U,-0.611648,34.954091,9999.0,2052.0,WGS84,POINT (34.95409067 -0.61164768),1340,11,1,11,0,11,8,1340,29,20,46,4,128,1340,131,131,nyanza,57,73
55,KE202000001348,KE,2020.0,1348.0,R,-4.259893,39.125893,9999.0,178.0,WGS84,POINT (39.12589333 -4.259893312),1348,21,7,0,21,21,12,1348,28,22,41,4,138,1348,138,0,coast,72,59
56,KE202000001358,KE,2020.0,1358.0,R,-3.884807,39.720172,9999.0,19.0,WGS84,POINT (39.72017168 -3.884807071),1358,24,3,0,24,24,12,1358,29,20,29,5,156,1358,156,0,coast,51,98
57,KE202000001364,KE,2020.0,1364.0,R,-3.850948,39.699868,9999.0,59.0,WGS84,POINT (39.69986795 -3.850948267),1364,11,4,0,11,11,6,1364,29,21,36,3,109,1364,110,0,coast,52,55
58,KE202000001371,KE,2020.0,1371.0,R,-2.964937,40.092322,9999.0,107.0,WGS84,POINT (40.0923221 -2.964937125),1371,16,2,0,16,16,7,1371,26,14,27,4,129,1371,129,0,coast,40,82
59,KE202000001404,KE,2020.0,1404.0,R,-2.382934,40.428061,9999.0,14.0,WGS84,POINT (40.42806115 -2.382934432),1404,12,1,0,12,12,5,1404,24,20,44,4,103,1404,110,0,coast,48,49
60,KE202000001415,KE,2020.0,1415.0,R,-3.37216,38.471827,9999.0,734.0,WGS84,POINT (38.47182689 -3.372159983),1415,4,1,0,4,4,4,1415,27,22,50,3,81,1415,82,0,coast,59,23
61,KE202000001472,KE,2020.0,1472.0,R,2.002504,37.895603,9999.0,526.0,WGS84,POINT (37.89560278 2.00250447),1472,19,4,0,19,19,10,1472,25,18,24,3,96,1472,98,0,eastern,42,44
62,KE202000001499,KE,2020.0,1499.0,R,0.736723,39.165727,9999.0,267.0,WGS84,POINT (39.16572748 0.736722923),1499,7,1,0,7,7,5,1499,27,16,31,2,67,1499,67,0,eastern,32,32
63,KE202000001505,KE,2020.0,1505.0,R,0.06168,37.714836,9999.0,1265.0,WGS84,POINT (37.71483575 0.061680258),1505,11,2,0,11,11,4,1505,26,7,10,2,75,1505,76,0,eastern,17,57
64,KE202000001530,KE,2020.0,1530.0,R,-0.323713,38.003135,9999.0,515.0,WGS84,POINT (38.0031354 -0.323712679),1530,7,1,0,7,7,4,1530,29,9,14,5,146,1530,146,0,eastern,28,117
65,KE202000001533,KE,2020.0,1533.0,R,-0.396813,37.57372,9999.0,1487.0,WGS84,POINT (37.57371975 -0.396813132),1533,7,0,0,7,7,4,1533,28,16,35,3,84,1533,89,0,eastern,19,63
66,KE202000001538,KE,2020.0,1538.0,R,-0.438389,37.890555,9999.0,631.0,WGS84,POINT (37.89055518 -0.438388906),1538,15,2,0,15,15,8,1538,29,16,29,4,118,1538,119,0,eastern,32,78
67,KE202000001584,KE,2020.0,1584.0,R,-2.0971,37.944429,9999.0,833.0,WGS84,POINT (37.94442877 -2.097099968),1584,6,0,0,6,6,3,1584,30,9,13,3,118,1584,119,0,eastern,18,101
