,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
124,KE202000002658,KE,2020.0,2658.0,U,-0.050411,34.688424,9999.0,1371.0,WGS84,POINT (34.68842384 -0.050411382),2658,10,2,10,0,10,5,2658,25,23,36,3,98,2658,98,98,nyanza,54,43
125,KE202000002663,KE,2020.0,2663.0,U,-0.07732,34.724552,9999.0,1143.0,WGS84,POINT (34.72455158 -0.077320403),2663,17,3,17,0,17,7,2663,26,21,35,4,115,2663,115,115,nyanza,42,53
126,KE202000002702,KE,2020.0,2702.0,R,-3.575281,39.515101,9999.0,261.0,WGS84,POINT (39.51510051 -3.575281218),2702,15,3,0,15,14,9,2702,28,15,27,5,145,2702,147,0,coast,50,97
127,KE202000002720,KE,2020.0,2720.0,R,-0.936019,39.887881,9999.0,100.0,WGS84,POINT (39.88788056 -0.93601857),2720,22,5,0,22,22,9,2720,26,15,27,5,137,2720,137,0,coast,50,83
128,KE202000002749,KE,2020.0,2749.0,R,-3.412474,38.567252,9999.0,561.0,WGS84,POINT (38.56725243 -3.41247406),2749,15,2,0,15,14,12,2749,28,24,45,2,81,2749,81,0,coast,58,17
129,KE202000002783,KE,2020.0,2783.0,R,3.810134,41.462254,9999.0,354.0,WGS84,POINT (41.46225448 3.810133658),2783,13,5,0,13,13,3,2783,14,11,17,4,58,2783,58,0,north eastern,8,30
130,KE202000002831,KE,2020.0,2831.0,R,-0.034343,37.605833,9999.0,1629.0,WGS84,POINT (37.60583265 -0.034343139),2831,3,0,0,3,3,1,2831,29,11,18,2,72,2831,75,0,eastern,9,60
131,KE202000002840,KE,2020.0,2840.0,R,0.368777,37.991617,9999.0,1590.0,WGS84,POINT (37.99161677 0.368777424),2840,21,1,0,21,21,6,2840,30,9,13,4,128,2840,130,0,eastern,25,105
132,KE202000002845,KE,2020.0,2845.0,R,0.018016,37.835092,9999.0,977.0,WGS84,POINT (37.83509164 0.018016162),2845,8,1,0,8,8,4,2845,30,12,13,2,77,2845,81,0,eastern,20,60
133,KE202000002854,KE,2020.0,2854.0,R,-0.236553,37.710802,9999.0,1208.0,WGS84,POINT (37.71080195 -0.236552657),2854,10,1,0,10,10,7,2854,29,20,28,3,99,2854,99,0,eastern,41,56
134,KE202000002860,KE,2020.0,2860.0,R,-0.382335,37.484481,9999.0,1710.0,WGS84,POINT (37.48448053 -0.382334641),2860,14,2,0,14,14,10,2860,30,16,25,3,104,2860,106,0,eastern,37,66
135,KE202000002920,KE,2020.0,2920.0,R,-2.48442,38.03975,9999.0,834.0,WGS84,POINT (38.03974972 -2.484420415),2920,10,0,0,10,10,3,2920,27,8,12,3,98,2920,99,0,eastern,11,87
136,KE202000003069,KE,2020.0,3069.0,R,0.845449,34.844827,9999.0,1714.0,WGS84,POINT (34.84482734 0.845448626),3069,8,3,0,8,8,4,3069,29,21,42,4,144,3069,146,0,rift valley,64,82
137,KE202000003075,KE,2020.0,3075.0,R,1.014844,34.848502,9999.0,1891.0,WGS84,POINT (34.84850207 1.014844013),3075,12,7,0,12,12,4,3075,28,13,25,4,127,3075,131,0,rift valley,38,93
138,KE202000003127,KE,2020.0,3127.0,R,0.406043,35.894033,9999.0,1341.0,WGS84,POINT (35.89403267 0.40604347),3127,13,1,0,13,13,6,3127,27,16,23,3,91,3127,91,0,rift valley,33,57
139,KE202000003142,KE,2020.0,3142.0,R,-0.017528,36.910157,9999.0,1790.0,WGS84,POINT (36.91015663 -0.017528319),3142,9,0,0,9,9,1,3142,29,3,6,3,100,3142,100,0,rift valley,7,92
140,KE202000003179,KE,2020.0,3179.0,R,-1.010107,36.1959,9999.0,1850.0,WGS84,POINT (36.19590037 -1.010106552),3179,18,3,0,18,18,0,3179,26,2,4,3,101,3179,101,0,rift valley,0,101
141,KE202000003214,KE,2020.0,3214.0,R,-0.396679,35.049198,9999.0,1740.0,WGS84,POINT (35.04919795 -0.396678914),3214,7,1,0,7,7,5,3214,29,26,65,4,121,3214,123,0,rift valley,68,55
142,KE202000003225,KE,2020.0,3225.0,R,0.446054,34.682991,9999.0,1424.0,WGS84,POINT (34.68299056 0.446053653),3225,10,5,0,10,10,7,3225,28,20,43,5,144,3225,145,0,western,64,81
143,KE202000003228,KE,2020.0,3228.0,R,0.459307,34.791381,9999.0,1538.0,WGS84,POINT (34.79138132 0.459306618),3228,14,5,0,14,14,7,3228,28,19,48,5,160,3228,171,0,western,73,96
144,KE202000003231,KE,2020.0,3231.0,R,0.242494,34.793723,9999.0,1531.0,WGS84,POINT (34.79372324 0.24249384),3231,14,4,0,14,14,11,3231,27,20,33,4,129,3231,129,0,western,59,70
145,KE202000003236,KE,2020.0,3236.0,R,0.413578,34.481857,9999.0,1341.0,WGS84,POINT (34.48185729 0.413577555),3236,15,7,0,15,15,7,3236,28,23,54,5,165,3236,167,0,western,81,86
146,KE202000003240,KE,2020.0,3240.0,R,0.083907,34.587559,9999.0,1457.0,WGS84,POINT (34.58755922 0.083906816),3240,12,3,0,12,12,5,3240,28,20,41,4,126,3240,131,0,western,53,77
147,KE202000003281,KE,2020.0,3281.0,R,0.234988,34.18392,9999.0,1277.0,WGS84,POINT (34.18392023 0.23498775),3281,6,2,0,6,6,3,3281,30,24,37,2,87,3281,88,0,nyanza,53,35
148,KE202000003282,KE,2020.0,3282.0,R,0.188817,34.285007,9999.0,1234.0,WGS84,POINT (34.2850071 0.18881683),3282,11,2,0,11,11,6,3282,30,23,49,3,117,3282,117,0,nyanza,66,51
149,KE202000003293,KE,2020.0,3293.0,R,-0.105925,34.439525,9999.0,1292.0,WGS84,POINT (34.43952509 -0.105924503),3293,7,0,0,7,7,7,3293,27,25,58,4,114,3293,114,0,nyanza,84,30
150,KE202000003320,KE,2020.0,3320.0,R,-0.729479,34.782102,9999.0,1815.0,WGS84,POINT (34.78210204 -0.729478697),3320,8,2,0,8,8,6,3320,29,23,61,4,122,3320,122,0,nyanza,68,50
151,KE202000003363,KE,2020.0,3363.0,U,-1.251541,36.883067,9999.0,1599.0,WGS84,POINT (36.88306655 -1.251540738),3363,11,0,11,0,11,5,3363,20,17,27,3,70,3363,71,71,nairobi,26,23
152,KE202000003445,KE,2020.0,3445.0,U,-4.016664,39.610753,9999.0,55.0,WGS84,POINT (39.61075257 -4.016663706),3445,6,1,6,0,6,3,3445,27,21,30,2,68,3445,68,68,coast,34,25
153,KE202000003449,KE,2020.0,3449.0,U,-4.023821,39.604545,9999.0,58.0,WGS84,POINT (39.60454505 -4.023820779),3449,11,3,11,0,10,5,3449,29,22,32,2,80,3449,80,80,coast,34,39
154,KE202000003457,KE,2020.0,3457.0,U,-4.090193,39.654214,9999.0,17.0,WGS84,POINT (39.65421433 -4.090192971),3457,14,4,14,0,14,11,3457,27,20,28,3,85,3457,85,85,coast,48,35
155,KE202000003459,KE,2020.0,3459.0,U,-4.18177,39.442621,9999.0,392.0,WGS84,POINT (39.44262112 -4.181769603),3459,9,0,9,0,9,5,3459,25,16,32,3,76,3459,78,78,coast,31,35
156,KE202000003481,KE,2020.0,3481.0,U,-3.212612,40.10074,9999.0,22.0,WGS84,POINT (40.10073961 -3.212611947),3481,6,0,6,0,6,3,3481,24,11,21,2,65,3481,65,65,coast,22,35
157,KE202000003526,KE,2020.0,3526.0,U,3.404486,40.221435,9999.0,594.0,WGS84,POINT (40.22143492 3.404485635),3526,19,2,19,0,19,7,3526,27,23,47,4,120,3526,120,120,north eastern,50,32
158,KE202000003535,KE,2020.0,3535.0,U,3.526712,39.074842,9999.0,1078.0,WGS84,POINT (39.07484173 3.526711957),3535,22,6,22,0,22,8,3535,27,18,36,5,159,3535,159,159,eastern,40,89
159,KE202000003553,KE,2020.0,3553.0,U,-0.069162,37.668796,9999.0,1498.0,WGS84,POINT (37.66879595 -0.069162362),3553,8,2,8,0,8,6,3553,27,14,28,2,60,3553,61,61,eastern,26,21
160,KE202000003556,KE,2020.0,3556.0,U,0.236019,37.926814,9999.0,1630.0,WGS84,POINT (37.92681443 0.236019278),3556,7,0,7,0,7,2,3556,27,12,15,1,53,3556,54,54,eastern,17,37
161,KE202000003616,KE,2020.0,3616.0,U,-1.086498,37.093654,9999.0,1469.0,WGS84,POINT (37.09365399 -1.08649762),3616,8,3,8,0,8,5,3616,24,15,31,2,71,3616,71,71,central,19,42
162,KE202000003625,KE,2020.0,3625.0,U,3.129364,35.606023,9999.0,501.0,WGS84,POINT (35.60602347 3.129363672),3625,11,5,11,0,11,4,3625,29,17,31,2,79,3625,79,79,rift valley,28,41
163,KE202000003636,KE,2020.0,3636.0,U,3.721403,34.853267,9999.0,600.0,WGS84,POINT (34.85326723 3.721402744),3636,7,3,7,0,5,2,3636,26,25,35,1,40,3636,40,40,rift valley,12,6
164,KE202000003645,KE,2020.0,3645.0,U,1.236835,35.121606,9999.0,2082.0,WGS84,POINT (35.12160569 1.236835159),3645,7,1,7,0,7,5,3645,21,12,28,3,77,3645,78,78,rift valley,41,37
165,KE202000003691,KE,2020.0,3691.0,U,0.461686,35.252916,9999.0,2108.0,WGS84,POINT (35.25291638 0.461686058),3691,11,4,11,0,10,9,3691,29,20,40,3,89,3691,89,89,rift valley,48,37
166,KE202000003696,KE,2020.0,3696.0,U,0.971934,35.56237,9999.0,2261.0,WGS84,POINT (35.5623703 0.971934045),3696,8,1,8,0,8,4,3696,27,13,28,3,86,3696,86,86,rift valley,30,53
167,KE202000003774,KE,2020.0,3774.0,U,-0.366717,35.283842,9999.0,2014.0,WGS84,POINT (35.28384206 -0.366716538),3774,6,1,6,0,6,0,3774,22,14,30,2,48,3774,49,49,rift valley,12,30
168,KE202000003778,KE,2020.0,3778.0,U,0.213784,34.766976,9999.0,1583.0,WGS84,POINT (34.76697632 0.213783865),3778,6,1,6,0,6,3,3778,23,22,53,2,51,3778,53,53,western,34,8
169,KE202000003779,KE,2020.0,3779.0,U,0.831441,35.117465,9999.0,1855.0,WGS84,POINT (35.11746496 0.83144085),3779,5,1,5,0,5,1,3779,22,17,36,3,76,3779,78,78,western,44,22
170,KE202000003784,KE,2020.0,3784.0,U,0.09801,34.737259,9999.0,1571.0,WGS84,POINT (34.73725851 0.09800958),3784,12,4,12,0,11,8,3784,28,20,34,3,99,3784,99,99,western,48,49
171,KE202000003858,KE,2020.0,3858.0,U,-2.279335,40.879498,9999.0,7.0,WGS84,POINT (40.87949833 -2.279334969),3858,9,1,9,0,9,3,3858,27,19,48,3,100,3858,103,103,coast,39,38
172,KE202000003876,KE,2020.0,3876.0,U,-0.31049,37.625985,9999.0,1452.0,WGS84,POINT (37.62598503 -0.310490006),3876,8,0,8,0,8,2,3876,27,12,21,2,69,3876,69,69,eastern,20,43
173,KE202000003878,KE,2020.0,3878.0,U,-0.320165,37.67917,9999.0,1313.0,WGS84,POINT (37.67916972 -0.320164769),3878,7,0,7,0,7,5,3878,28,16,36,2,79,3878,80,80,eastern,34,36
174,KE202000003898,KE,2020.0,3898.0,U,-1.14714,37.528775,9999.0,1261.0,WGS84,POINT (37.52877524 -1.147139999),3898,4,0,4,0,4,1,3898,28,18,31,3,103,3898,105,105,eastern,47,57
175,KE202000003908,KE,2020.0,3908.0,U,-0.35633,36.391525,9999.0,2301.0,WGS84,POINT (36.39152461 -0.356329892),3908,9,1,9,0,9,4,3908,26,13,20,3,95,3908,98,98,central,17,78
176,KE202000003930,KE,2020.0,3930.0,U,1.292019,35.031183,9999.0,1839.0,WGS84,POINT (35.03118304 1.292019457),3930,18,4,18,0,18,2,3930,25,5,7,5,146,3930,147,147,rift valley,13,134
177,KE202000003955,KE,2020.0,3955.0,U,-0.791836,35.330779,9999.0,1928.0,WGS84,POINT (35.3307787 -0.791836463),3955,18,3,18,0,18,8,3955,27,23,50,4,123,3955,123,123,rift valley,66,57
178,KE202000003976,KE,2020.0,3976.0,U,0.113871,34.759071,9999.0,1592.0,WGS84,POINT (34.75907058 0.113870778),3976,6,3,6,0,6,5,3976,26,15,35,3,79,3976,80,80,western,40,37
179,KE202000003978,KE,2020.0,3978.0,U,0.073774,34.727038,9999.0,1567.0,WGS84,POINT (34.72703822 0.073774146),3978,7,0,7,0,7,5,3978,28,22,45,3,98,3978,100,100,western,64,36
180,KE202000003999,KE,2020.0,3999.0,U,-0.165896,34.944182,9999.0,1168.0,WGS84,POINT (34.94418175 -0.165896343),3999,14,1,14,0,14,9,3999,28,27,63,3,101,3999,101,101,nyanza,81,8
181,KE202000004018,KE,2020.0,4018.0,U,-0.746035,34.948728,9999.0,2009.0,WGS84,POINT (34.94872798 -0.746035288),4018,10,1,10,0,10,8,4018,29,28,94,3,114,4018,114,114,nyanza,93,21
182,KE202000004105,KE,2020.0,4105.0,R,0.26069,40.191217,9999.0,132.0,WGS84,POINT (40.19121713 0.260689939),4105,24,2,0,24,24,2,4105,29,21,53,5,148,4105,149,0,north eastern,17,61
183,KE202000004114,KE,2020.0,4114.0,R,2.566772,39.5926,9999.0,431.0,WGS84,POINT (39.59260001 2.566772317),4114,18,3,0,18,18,3,4114,12,9,10,6,73,4114,73,0,north eastern,12,49
184,KE202000004118,KE,2020.0,4118.0,R,1.607526,39.830041,9999.0,246.0,WGS84,POINT (39.83004128 1.607525697),4118,20,3,0,20,19,3,4118,25,12,15,5,133,4118,134,0,north eastern,12,111
185,KE202000004134,KE,2020.0,4134.0,R,2.186648,37.993278,9999.0,854.0,WGS84,POINT (37.99327769 2.186648002),4134,21,5,0,21,21,8,4134,27,12,18,3,105,4134,108,0,eastern,23,83
186,KE202000004171,KE,2020.0,4171.0,R,1.293259,39.183087,9999.0,226.0,WGS84,POINT (39.18308697 1.293258933),4171,29,2,0,29,27,11,4171,26,18,32,4,117,4171,120,0,eastern,51,60
187,KE202000004195,KE,2020.0,4195.0,R,0.210606,38.053872,9999.0,836.0,WGS84,POINT (38.05387185 0.210606251),4195,12,1,0,12,12,3,4195,29,5,6,3,104,4195,105,0,eastern,7,98
188,KE202000004209,KE,2020.0,4209.0,R,-0.1487,38.065321,9999.0,631.0,WGS84,POINT (38.06532056 -0.148700431),4209,18,1,0,18,18,6,4209,28,8,10,4,119,4209,120,0,eastern,16,104
189,KE202000004253,KE,2020.0,4253.0,R,-0.905328,37.304779,9999.0,1246.0,WGS84,POINT (37.30477877 -0.905328445),4253,8,1,0,8,8,5,4253,29,9,16,3,101,4253,101,0,eastern,24,77
190,KE202000004311,KE,2020.0,4311.0,R,-0.499451,36.864923,9999.0,2181.0,WGS84,POINT (36.86492322 -0.49945133),4311,14,3,0,14,14,1,4311,29,1,1,3,102,4311,106,0,central,2,104
191,KE202000004313,KE,2020.0,4313.0,R,-0.673743,37.384674,9999.0,1134.0,WGS84,POINT (37.38467419 -0.673742507),4313,6,1,0,6,6,4,4313,26,24,59,2,72,4313,75,0,central,52,20
192,KE202000004317,KE,2020.0,4317.0,R,-0.648202,37.218871,9999.0,1211.0,WGS84,POINT (37.21887131 -0.648202296),4317,6,0,0,6,6,5,4317,27,12,26,3,86,4317,91,0,central,21,66
193,KE202000004380,KE,2020.0,4380.0,R,1.195188,35.154475,9999.0,2144.0,WGS84,POINT (35.1544748 1.195187865),4380,19,6,0,19,19,8,4380,25,15,33,5,127,4380,129,0,rift valley,43,86
194,KE202000004387,KE,2020.0,4387.0,R,1.660826,35.163018,9999.0,1301.0,WGS84,POINT (35.16301803 1.660825813),4387,26,5,0,26,26,8,4387,24,8,12,5,130,4387,133,0,rift valley,27,106
195,KE202000004393,KE,2020.0,4393.0,R,2.143003,35.099717,9999.0,1510.0,WGS84,POINT (35.09971702 2.143002605),4393,23,6,0,23,23,4,4393,26,5,10,5,141,4393,143,0,rift valley,12,131
196,KE202000004413,KE,2020.0,4413.0,R,0.980675,36.962541,9999.0,1295.0,WGS84,POINT (36.96254146 0.980674752),4413,14,1,0,14,14,2,4413,30,3,3,2,80,4413,80,0,rift valley,9,71
197,KE202000004431,KE,2020.0,4431.0,R,0.893012,35.263468,9999.0,1915.0,WGS84,POINT (35.26346808 0.893012472),4431,11,1,0,11,11,7,4431,30,26,57,4,142,4431,143,0,rift valley,71,72
198,KE202000004444,KE,2020.0,4444.0,R,0.303198,35.451898,9999.0,2322.0,WGS84,POINT (35.45189768 0.303197655),4444,13,2,0,13,13,10,4444,30,23,51,4,145,4444,147,0,rift valley,77,70
199,KE202000004470,KE,2020.0,4470.0,R,0.711942,35.511017,9999.0,2341.0,WGS84,POINT (35.51101656 0.711942495),4470,9,0,0,9,9,7,4470,22,11,21,3,68,4470,68,0,rift valley,25,37
200,KE202000004476,KE,2020.0,4476.0,R,0.20979,35.634991,9999.0,2622.0,WGS84,POINT (35.63499106 0.209790427),4476,4,0,0,4,4,1,4476,29,4,4,2,75,4476,75,0,rift valley,5,70
201,KE202000004481,KE,2020.0,4481.0,R,0.227282,35.031435,9999.0,1931.0,WGS84,POINT (35.03143506 0.227282171),4481,15,1,0,15,15,4,4481,26,14,31,3,103,4481,105,0,rift valley,38,67
202,KE202000004497,KE,2020.0,4497.0,R,0.965756,36.030294,9999.0,843.0,WGS84,POINT (36.03029363 0.965756479),4497,16,6,0,16,16,12,4497,22,17,37,4,104,4497,107,0,rift valley,56,51
203,KE202000004532,KE,2020.0,4532.0,R,-0.507715,36.327437,9999.0,1970.0,WGS84,POINT (36.32743736 -0.507715109),4532,16,1,0,16,16,2,4532,27,14,24,4,112,4532,113,0,rift valley,19,86
204,KE202000004576,KE,2020.0,4576.0,R,-0.828142,35.433531,9999.0,2061.0,WGS84,POINT (35.43353118 -0.828141945),4576,15,1,0,15,15,6,4576,30,22,46,4,149,4576,149,0,rift valley,58,91
205,KE202000004585,KE,2020.0,4585.0,R,-0.419319,35.270844,9999.0,1909.0,WGS84,POINT (35.27084382 -0.419318546),4585,6,0,0,6,6,4,4585,27,19,29,2,74,4585,75,0,rift valley,41,34
206,KE202000004601,KE,2020.0,4601.0,R,0.673448,34.940118,9999.0,1635.0,WGS84,POINT (34.94011814 0.673447534),4601,20,4,0,20,19,9,4601,29,19,44,5,155,4601,155,0,western,67,88
207,KE202000004620,KE,2020.0,4620.0,R,0.073068,34.620597,9999.0,1530.0,WGS84,POINT (34.6205971 0.073068191),4620,4,1,0,4,4,4,4620,30,20,35,3,94,4620,96,0,western,36,57
208,KE202000004659,KE,2020.0,4659.0,R,0.268193,34.255586,9999.0,1263.0,WGS84,POINT (34.2555857 0.268193243),4659,13,3,0,13,12,10,4659,30,28,52,3,112,4659,112,0,nyanza,78,34
209,KE202000004661,KE,2020.0,4661.0,R,0.217181,34.350705,9999.0,1281.0,WGS84,POINT (34.35070484 0.217181445),4661,16,1,0,16,15,11,4661,30,26,44,3,113,4661,113,0,nyanza,68,41
210,KE202000004664,KE,2020.0,4664.0,R,-0.133118,34.198937,9999.0,1204.0,WGS84,POINT (34.19893725 -0.133117869),4664,16,1,0,16,15,12,4664,30,26,43,4,122,4664,122,0,nyanza,73,48
211,KE202000004666,KE,2020.0,4666.0,R,-0.126406,34.353206,9999.0,1269.0,WGS84,POINT (34.35320639 -0.126405567),4666,17,3,0,17,16,15,4666,30,26,51,3,114,4666,116,0,nyanza,81,34
212,KE202000004667,KE,2020.0,4667.0,R,-0.061736,34.958594,9999.0,1239.0,WGS84,POINT (34.95859395 -0.061735864),4667,6,4,0,6,6,3,4667,27,21,26,1,50,4667,50,0,nyanza,33,15
213,KE202000004678,KE,2020.0,4678.0,R,-0.154901,35.08411,9999.0,1283.0,WGS84,POINT (35.08410984 -0.154901229),4678,7,1,0,7,7,5,4678,27,19,32,3,84,4678,84,0,nyanza,44,28
214,KE202000004720,KE,2020.0,4720.0,R,-0.432458,35.016176,9999.0,1564.0,WGS84,POINT (35.01617555 -0.432458184),4720,9,2,0,9,9,5,4720,29,20,47,4,124,4720,124,0,nyanza,61,63
215,KE202000004734,KE,2020.0,4734.0,R,-0.832641,35.104509,9999.0,1800.0,WGS84,POINT (35.10450861 -0.832641348),4734,6,0,0,6,6,3,4734,30,20,47,3,110,4734,110,0,nyanza,56,53
216,KE202000004812,KE,2020.0,4812.0,U,-4.038242,39.651831,9999.0,5.0,WGS84,POINT (39.65183142 -4.03824209),4812,15,6,15,0,15,8,4812,30,24,43,3,99,4812,101,101,coast,50,33
217,KE202000004847,KE,2020.0,4847.0,U,-4.287741,39.567214,9999.0,42.0,WGS84,POINT (39.56721382 -4.287740557),4847,7,5,7,0,7,4,4847,26,18,27,2,64,4847,64,64,coast,36,28
218,KE202000004867,KE,2020.0,4867.0,U,-3.025763,40.135731,9999.0,19.0,WGS84,POINT (40.1357308 -3.025763183),4867,6,2,6,0,6,2,4867,27,22,44,4,109,4867,109,109,coast,50,45
219,KE202000004890,KE,2020.0,4890.0,U,-0.441836,39.632494,9999.0,144.0,WGS84,POINT (39.63249372 -0.441836331),4890,11,3,11,0,11,4,4890,24,17,51,6,145,4890,147,147,north eastern,32,78
220,KE202000004899,KE,2020.0,4899.0,U,1.761032,40.071444,9999.0,260.0,WGS84,POINT (40.07144449 1.761031962),4899,10,6,10,0,10,2,4899,23,18,30,2,60,4899,61,61,north eastern,23,26
221,KE202000004905,KE,2020.0,4905.0,U,3.945827,41.865475,9999.0,203.0,WGS84,POINT (41.86547536 3.94582664),4905,10,1,10,0,10,2,4905,27,27,75,4,115,4905,117,117,north eastern,34,24
222,KE202000004914,KE,2020.0,4914.0,U,1.589571,37.846038,9999.0,537.0,WGS84,POINT (37.84603779 1.589570923),4914,12,1,12,0,12,6,4914,25,19,26,2,68,4914,68,68,eastern,28,23
223,KE202000004936,KE,2020.0,4936.0,U,-0.159363,37.977661,9999.0,597.0,WGS84,POINT (37.97766109 -0.159362695),4936,5,0,5,0,5,3,4936,25,19,37,2,70,4936,70,70,eastern,28,25
224,KE202000004939,KE,2020.0,4939.0,U,-0.534554,37.454074,9999.0,1334.0,WGS84,POINT (37.45407431 -0.53455356),4939,14,4,14,0,14,9,4939,30,19,29,2,80,4939,81,81,eastern,43,29
225,KE202000004944,KE,2020.0,4944.0,U,-0.569388,37.659526,9999.0,1172.0,WGS84,POINT (37.65952554 -0.569387683),4944,8,1,8,0,8,7,4944,26,16,33,2,65,4944,65,65,eastern,35,26
226,KE202000004958,KE,2020.0,4958.0,U,-2.682671,38.163878,9999.0,754.0,WGS84,POINT (38.16387775 -2.682670608),4958,3,0,3,0,3,1,4958,21,8,11,1,26,4958,26,26,eastern,9,16
227,KE202000004971,KE,2020.0,4971.0,U,-0.423182,36.976934,9999.0,1731.0,WGS84,POINT (36.97693366 -0.423182188),4971,7,0,7,0,7,2,4971,27,4,5,2,60,4971,64,64,central,5,59
228,KE202000004977,KE,2020.0,4977.0,U,-0.701045,37.364136,9999.0,1148.0,WGS84,POINT (37.3641363 -0.701045486),4977,12,3,12,0,10,6,4977,25,23,43,2,64,4977,65,65,central,39,13
229,KE202000004980,KE,2020.0,4980.0,U,-0.492024,37.260042,9999.0,1582.0,WGS84,POINT (37.260042 -0.492024028),4980,11,0,11,0,11,4,4980,26,18,35,3,84,4980,91,91,central,39,46
230,KE202000004984,KE,2020.0,4984.0,U,-0.841015,36.910505,9999.0,1910.0,WGS84,POINT (36.91050505 -0.8410154),4984,12,1,12,0,11,3,4984,26,5,6,2,68,4984,68,68,central,10,56
231,KE202000004985,KE,2020.0,4985.0,U,-0.792461,37.133871,9999.0,1358.0,WGS84,POINT (37.13387084 -0.792460657),4985,6,0,6,0,6,0,4985,24,6,9,2,60,4985,61,61,central,3,53
232,KE202000005034,KE,2020.0,5034.0,U,0.643505,37.680053,9999.0,842.0,WGS84,POINT (37.68005349 0.643504621),5034,9,1,9,0,9,2,5034,27,18,23,1,50,5034,50,50,rift valley,10,15
233,KE202000005073,KE,2020.0,5073.0,U,0.488299,35.979749,9999.0,1021.0,WGS84,POINT (35.97974893 0.488299289),5073,10,3,10,0,10,2,5073,24,17,30,2,67,5073,68,68,rift valley,26,30
234,KE202000005086,KE,2020.0,5086.0,U,0.042013,37.072165,9999.0,1910.0,WGS84,POINT (37.07216529 0.042013386),5086,6,0,6,0,6,4,5086,24,8,11,2,54,5086,54,54,rift valley,14,40
235,KE202000005128,KE,2020.0,5128.0,U,-1.439627,36.678679,9999.0,1872.0,WGS84,POINT (36.67867915 -1.439626952),5128,10,1,10,0,10,3,5128,22,9,17,3,70,5128,70,70,rift valley,18,40
236,KE202000005138,KE,2020.0,5138.0,U,-0.196175,35.447651,9999.0,1967.0,WGS84,POINT (35.44765137 -0.196175222),5138,4,1,4,0,4,4,5138,22,20,29,1,42,5138,42,42,rift valley,32,7
237,KE202000005142,KE,2020.0,5142.0,U,0.301958,34.777849,9999.0,1533.0,WGS84,POINT (34.7778488 0.301957673),5142,8,3,8,0,8,7,5142,25,24,34,2,62,5142,62,62,western,45,10
238,KE202000005146,KE,2020.0,5146.0,U,0.350057,34.490694,9999.0,1279.0,WGS84,POINT (34.49069422 0.350056863),5146,6,1,6,0,6,3,5146,27,27,57,3,84,5146,86,86,western,42,17
239,KE202000005172,KE,2020.0,5172.0,U,0.050451,34.27416,9999.0,1299.0,WGS84,POINT (34.27415987 0.05045105),5172,8,0,8,0,7,4,5172,30,26,43,2,89,5172,90,90,nyanza,47,31
240,KE202000005185,KE,2020.0,5185.0,U,-0.068816,35.145362,9999.0,1280.0,WGS84,POINT (35.14536222 -0.068815998),5185,5,0,5,0,3,2,5185,23,23,39,2,62,5185,62,62,nyanza,33,15
241,KE202000005219,KE,2020.0,5219.0,U,-1.550008,40.054999,9999.0,53.0,WGS84,POINT (40.05499946 -1.550007924),5219,22,8,22,0,21,9,5219,28,19,50,5,165,5219,166,166,coast,53,104
242,KE202000005256,KE,2020.0,5256.0,U,-1.795827,37.623964,9999.0,1141.0,WGS84,POINT (37.62396377 -1.795826842),5256,5,0,5,0,5,2,5256,26,11,13,1,40,5256,40,40,eastern,11,25
243,KE202000005313,KE,2020.0,5313.0,U,-0.770362,35.36417,9999.0,1982.0,WGS84,POINT (35.3641698 -0.770361624),5313,5,0,5,0,5,3,5313,30,28,60,4,120,5313,121,121,rift valley,81,40
244,KE202000005336,KE,2020.0,5336.0,U,-0.066906,34.25074,9999.0,1232.0,WGS84,POINT (34.25073991 -0.06690614),5336,10,1,10,0,10,7,5336,30,25,44,4,123,5336,129,129,nyanza,73,56
245,KE202000005359,KE,2020.0,5359.0,U,-0.844017,34.895319,9999.0,1935.0,WGS84,POINT (34.89531879 -0.844017186),5359,6,0,6,0,6,3,5359,28,18,56,4,121,5359,124,124,nyanza,69,55
246,KE202000006003,KE,2020.0,6003.0,R,-1.096184,34.214408,9999.0,1272.0,WGS84,POINT (34.21440761 -1.096183571),6003,20,4,0,20,19,11,6003,28,19,36,4,128,6003,129,0,nyanza,65,64
247,KE202000006022,KE,2020.0,6022.0,R,-0.706606,34.26209,9999.0,1435.0,WGS84,POINT (34.26209031 -0.706605849),6022,20,7,0,20,20,9,6022,30,27,50,5,167,6022,168,0,nyanza,79,89
248,KE202000006027,KE,2020.0,6027.0,R,-0.341371,34.523907,9999.0,1305.0,WGS84,POINT (34.52390656 -0.341371225),6027,5,1,0,5,5,2,6027,14,11,14,3,43,6027,43,0,nyanza,18,25
249,KE202000006028,KE,2020.0,6028.0,R,-0.474053,34.805965,9999.0,1638.0,WGS84,POINT (34.80596473 -0.474053384),6028,15,2,0,15,15,3,6028,30,26,49,5,150,6028,151,0,nyanza,48,103
