,DHSID,DHSCC_hhm,DHSYEAR_hhm,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net,Pop2015,Prec_15,Arid_15,DLST_15,DTemp15,EVI_15,FD_15,ITN_15,LST_15,MI_15,MP_15,MaxTem15,Meante15,Mintem15,NLST15,PET_15,Rain15,Travel_Times_2015,U5pop15,UNpopc15,UNpop15,WD_15,GPS_Dataset,DHSCC_cov,DHSYEAR_cov,SurveyID,D_e,Global_HF,Gross_CP,GSL,Irr,Nightligh,Prox_PA,Prox_wa,Slope
234,KE201500000236,KE,2015.0,236.0,R,0.678036,34.493308,9999.0,1416.0,WGS84,POINT (34.493308 0.678036),236,31,17,0,31,30,18,236,29,24,45,6,177,236,182,0,105,western,105,77,192680.3438,144.4166718,36.48421097,30.41629706,13.30000019,3914.555556,0.0,0.564019219,23.79777696,0.296568598,0.243632487,29.31666756,22.64999962,16.01666641,17.17926025,3.958333492,1981.5,16.98382749,103.6023545,194952.125,610.667158,15.18833256,KEGE7AFL,KE,2015,KE2015MIS,-9999,35.93243243,985.5549665,10,0.013657482,0.03006473,20761.86358,72113.02129,1.264835245
235,KE201500000237,KE,2015.0,237.0,R,0.635757,34.718724,9999.0,1511.0,WGS84,POINT (34.718724 0.635757),237,11,8,0,11,11,6,237,25,18,38,4,102,237,103,0,55,western,55,48,216711.5313,129.7916718,33.71212006,29.81259494,14.57500076,4007.111111,0.0,0.564001192,22.82481554,0.256355381,0.200729116,27.47500038,20.17500114,12.89999962,15.83703783,3.849999905,1807.7,21.32880435,116.3805052,213292.8281,673.7858356,13.55416679,KEGE7AFL,KE,2015,KE2015MIS,-9999,42.27247956,985.5549665,10,0.0210115,0.094568774,39429.58063,80021.54671,0.951685532
236,KE201500000238,KE,2015.0,238.0,R,0.731039,34.530624,9999.0,1542.0,WGS84,POINT (34.530624 0.731039),238,15,8,0,15,15,10,238,30,19,40,4,129,238,134,0,72,western,72,62,209907.75,129.7916718,33.71212006,29.88370429,14.57500076,3950.333333,0.0,0.560788561,23.1823154,0.271776358,0.218698152,27.47500038,20.17500114,12.89999962,16.48092651,3.849999905,1936.111111,19.20380435,111.8619119,207898.2813,656.5368122,13.55416679,KEGE7AFL,KE,2015,KE2015MIS,-9999,33.53405995,985.5549665,10,0.00466924,0.017161701,17225.81318,79042.72901,2.037504943
237,KE201500000239,KE,2015.0,239.0,R,0.940081,34.730376,9999.0,2327.0,WGS84,POINT (34.730376 0.940081),239,26,6,0,26,26,5,239,29,11,18,4,135,239,135,0,22,western,22,113,60692.01563,129.7916718,33.71212006,24.26000129,14.57500076,4499.0,0.0,0.538664277,17.23675876,0.170765758,0.121756151,27.47500038,20.17500114,12.89999962,10.21351878,3.849999905,1643.9,99.57260274,33.89357061,67541.46875,215.0574058,13.55416679,KEGE7AFL,KE,2015,KE2015MIS,-9999,21.51232877,985.5549479,10,0.009455225,0.000792403,7751.547312,94503.92155,3.386337824
238,KE201500000240,KE,2015.0,240.0,U,0.829679,34.756162,9999.0,1721.0,WGS84,POINT (34.756162 0.829679),240,20,8,20,0,20,6,240,28,14,27,5,153,240,153,153,45,western,45,108,8141.947754,129.7916718,33.71212006,29.5933342,14.57500076,3986.0,0.0,0.53888018,22.32250023,0.2580553,0.205083013,27.47500038,20.17500114,12.89999962,15.05166626,3.849999905,1399.0,18.0,116.3347656,7839.992188,650.8090123,13.55416679,KEGE7AFL,KE,2015,KE2015MIS,-9999,26.0,985.5549316,10,0.01260677,0.013898666,19989.18453,101478.264,1.598191534
239,KE201500000241,KE,2015.0,241.0,U,0.831406,34.726517,9999.0,1773.0,WGS84,POINT (34.726517 0.831406),241,19,4,19,0,17,10,241,30,16,36,5,159,241,160,160,69,western,69,91,9911.675781,129.7916718,33.71212006,29.09833336,14.57500076,4224.0,0.0,0.538432104,21.11499977,0.258130491,0.204879984,27.47500038,20.17500114,12.89999962,13.13166714,3.849999905,1534.0,14.64285714,123.4729004,9026.552734,749.3074777,13.55416679,KEGE7AFL,KE,2015,KE2015MIS,-9999,31.14285714,985.5549316,10,0.0,0.04232316,19738.78914,101641.2368,2.863462448
240,KE201500000242,KE,2015.0,242.0,R,0.579619,34.372331,9999.0,1212.0,WGS84,POINT (34.372331 0.579619),242,20,10,0,20,18,17,242,28,26,53,5,150,242,151,0,109,western,109,42,145869.625,144.4166718,36.48421097,30.8866645,13.30000019,3940.444444,0.0,0.575629657,24.3744439,0.299757703,0.245321433,29.31666756,22.64999962,16.01666641,17.86222331,3.958333492,2005.888889,17.17486339,78.16529324,154356.7188,490.1029286,15.18833256,KEGE7AFL,KE,2015,KE2015MIS,-9999,42.93715847,985.5549479,12,0.011556294,0.014783709,31722.31082,54799.48612,0.582987259
241,KE201500000243,KE,2015.0,243.0,R,0.616486,34.250503,9999.0,1152.0,WGS84,POINT (34.250503 0.616486),243,20,8,0,20,20,20,243,27,26,52,4,119,243,120,0,97,western,97,23,175260.3906,144.4166718,36.48421097,30.95486196,13.30000019,3899.833333,0.0,0.609440612,24.68378194,0.318508284,0.262223789,29.31666756,22.64999962,16.01666641,18.41270192,3.958333492,1991.8,13.95616438,94.46668199,166655.5625,530.6071062,15.18833256,KEGE7AFL,KE,2015,KE2015MIS,-9999,45.75890411,985.5549316,12,0.017859779,0.092619086,34069.55936,48168.95206,0.581353342
242,KE201500000244,KE,2015.0,244.0,R,0.54432,34.236645,9999.0,1234.0,WGS84,POINT (34.236645 0.54432),244,19,4,0,19,19,15,244,28,25,51,4,133,244,134,0,91,western,91,43,136807.7031,144.4166718,36.48421097,30.59766846,13.30000019,3948.5,0.0,0.579581533,24.43150024,0.313617298,0.260697671,29.31666756,22.64999962,16.01666641,18.26533356,3.958333492,2101.0,19.34059946,72.6353046,148818.1719,471.2266689,15.18833256,KEGE7AFL,KE,2015,KE2015MIS,-9999,42.39344262,985.5548968,12,0.022412305,0.014146209,41459.3712,41055.12272,0.387451671
243,KE201500000245,KE,2015.0,245.0,U,0.625001,34.28438,9999.0,1156.0,WGS84,POINT (34.28438 0.625001),245,8,4,8,0,7,6,245,26,23,45,3,83,245,84,84,74,western,74,10,20147.85156,144.4166718,36.48421097,31.24833298,13.30000019,3922.0,0.0,0.557000963,24.78833389,0.323961139,0.267322809,29.31666756,22.64999962,16.01666641,18.3283329,3.958333492,1902.0,4.5,206.7843366,18225.45313,1323.746704,15.18833256,KEGE7AFL,KE,2015,KE2015MIS,-9999,57.0625,985.5549316,12,0.054629881,0.670224091,31087.40073,51265.87189,0.372974247
244,KE201500000246,KE,2015.0,246.0,U,0.474045,34.136326,9999.0,1183.0,WGS84,POINT (34.136326 0.474045),246,17,6,17,0,17,13,246,29,26,57,5,165,246,165,165,92,western,92,72,15053.97852,136.6750031,33.67761993,31.55333328,13.26666737,4067.0,0.0,0.564753143,25.02750015,0.331049711,0.281574458,29.95833397,23.30000114,16.69166756,18.50166702,4.058333397,2052.0,9.266666667,189.1961426,12309.86719,953.6677083,16.04500008,KEGE7AFL,KE,2015,KE2015MIS,-9999,62.3125,985.5549316,12,0.396723509,0.039732158,54306.46693,27941.74478,0.265653006
