,DHSID,DHSCC_hhm,DHSYEAR_hhm,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net,pop2020,arid_20,DLST_20,DTemp20,EVI20,FD_20,ITN_20,LST_20,MI_20,MP_20,Matemp20,Meantem20,Mintem20,NLST20,PET_20,Prec20,Rain20,U5pop20,UNpopc20,UNpop20,WD_20,GPS_Dataset,DHSCC_cov,DHSYEAR_cov,SurveyID,D.e,Elev,Global_Human_Footprint,Growing_Season_Length,Irrigation,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Nightligh
10,KE202000000193,KE,2020.0,193.0,R,-0.773114,37.281388,9999.0,1131.0,WGS84,POINT (37.28138846 -0.773113776),193,13,0,0,13,13,6,193,30,21,46,3,118,193,120,0,eastern,40,51,12904.60156,24.28110504,29.98862839,11.57196236,0.352881491,0.0,0.434200704,23.4753952,0.062459122,0.041136697,27.38574982,21.57857323,15.81378746,16.96216011,3.897786617,94.64256287,1304.504028,1564.470581,5444.82959,253.1067352,12.75378132,KEGE81FL,KE,2020,KE2020DHS,4.0,1115.551758,41.61963654,9,5.09110117,31.71557045,207.5691833,30.83902931,1.378933072,2.884541988,0.234705582
11,KE202000000196,KE,2020.0,196.0,R,-1.626811,37.944246,9999.0,964.0,WGS84,POINT (37.94424571 -1.626811451),196,6,0,0,6,6,0,196,24,10,17,3,78,196,80,0,eastern,10,63,1925.517578,14.89362621,30.63999748,11.54626751,0.35048762,0.0,0.460661501,24.48831367,0.077362016,0.048872843,29.85086823,24.05390739,18.30460167,18.33662987,4.393576622,65.43628693,859.3845825,256.6504517,2201.037598,102.3497467,9.305876732,KEGE81FL,KE,2020,KE2020DHS,9.0,919.0351563,37.31821823,6,0.0,10.70526791,43.91991806,11.63728714,1.58e-06,0.427796811,0.0
12,KE202000000206,KE,2020.0,206.0,R,-2.00424,38.199285,9999.0,749.0,WGS84,POINT (38.19928481 -2.004240414),206,11,1,0,11,11,2,206,30,11,17,4,134,206,135,0,eastern,24,107,967.6914673,12.39472771,31.212883,11.41280365,0.364313036,0.0,0.504022121,25.18976021,0.073043279,0.045216814,30.80026054,25.07191849,19.38745689,19.16663742,4.551736355,56.41753387,864.0822144,152.9562225,1399.49939,65.09130859,8.367230415,KEGE81FL,KE,2020,KE2020DHS,9.0,743.5,34.38362122,4,0.174806744,3.550133705,28.99444771,25.10394287,0.002045966,1.053234339,0.004958817
13,KE202000000223,KE,2020.0,223.0,R,-1.247961,37.424154,9999.0,1208.0,WGS84,POINT (37.42415437 -1.24796111),223,9,1,0,9,9,7,223,26,13,20,3,100,223,102,0,eastern,33,66,4958.583984,19.51920509,29.31058884,11.79123306,0.369896144,0.0,0.399778217,23.36371613,0.072913334,0.047208123,27.56610298,21.64110374,15.77486992,17.41684151,3.985547066,77.79470825,1005.249329,566.4663086,4625.178711,215.0346985,11.36756039,KEGE81FL,KE,2020,KE2020DHS,4.0,1219.856445,31.11867332,7,0.13105154,99.81456757,181.3516693,91.03781128,0.811808348,17.5459137,0.286674917
14,KE202000000265,KE,2020.0,265.0,R,-0.292556,36.529856,9999.0,2599.0,WGS84,POINT (36.52985649 -0.292556162),265,10,1,0,10,10,0,265,28,1,2,3,89,265,89,0,central,0,89,6320.030762,41.16799164,22.13035202,12.44448757,0.436637253,0.239891484,0.294125021,14.51142693,0.0,0.0,21.69470596,15.4529953,9.250217438,6.892502785,2.950737953,121.4759598,1734.392578,810.9554443,5203.499023,241.8700104,18.35391808,KEGE81FL,KE,2020,KE2020DHS,4.0,2571.546143,29.06752396,14,0.218374223,89.20677948,150.6406403,3.765899181,0.058991555,86.62859344,0.0
15,KE202000000273,KE,2020.0,273.0,R,-0.761818,36.663968,9999.0,2564.0,WGS84,POINT (36.66396826 -0.761817797),273,10,0,0,10,10,0,273,29,1,1,3,115,273,116,0,central,0,116,12000.76953,45.65356827,21.50489044,11.65795708,0.450344443,0.144448787,0.253040522,14.23253632,0.0,0.0,21.48655891,15.65039063,9.828602791,6.960183144,2.883087397,131.62323,1954.118774,1535.558228,11593.40137,538.9274292,18.48455048,KEGE81FL,KE,2020,KE2020DHS,4.0,2540.18457,29.01888847,14,0.043677468,107.6524429,496.8148193,2.601988316,0.680311561,83.50900269,0.015547534
16,KE202000000283,KE,2020.0,283.0,R,-0.527789,37.101379,9999.0,1740.0,WGS84,POINT (37.10137889 -0.527788504),283,11,2,0,11,10,2,283,30,9,12,3,93,283,100,0,central,8,91,15142.95605,41.94597244,24.68520355,11.21464157,0.472066581,0.233165503,0.363886476,19.12472343,0.079734057,0.055362776,22.8239727,17.19304085,11.60933208,13.56424427,3.142737389,131.8251801,1789.69751,1500.453979,15361.62207,714.0606689,16.56595039,KEGE81FL,KE,2020,KE2020DHS,4.0,1667.181641,32.77747726,9,13.10674477,72.06494904,687.6085815,45.00717545,3.714748621,32.79564667,0.015285283
17,KE202000000306,KE,2020.0,306.0,R,-0.679626,36.877244,9999.0,2164.0,WGS84,POINT (36.87724413 -0.679625952),306,11,0,0,11,11,2,306,26,4,6,2,77,306,80,0,central,6,72,11147.6084,43.48855209,22.61462021,11.23906231,0.537875712,0.123246528,0.333143175,14.67237854,0.069065847,0.046281837,22.43042564,16.79978371,11.19136333,6.730137348,3.045225859,132.4324646,2210.362061,1115.615601,10514.65625,488.7721558,17.50293732,KEGE81FL,KE,2020,KE2020DHS,4.0,1963.291992,25.44994354,14,2.045687199,21.31315994,1383.970703,5.902096272,0.126281515,4.662436962,0.121506512
18,KE202000000328,KE,2020.0,328.0,R,-1.082461,36.751099,9999.0,2070.0,WGS84,POINT (36.75109903 -1.082461036),328,12,1,0,12,12,5,328,27,11,24,3,101,328,102,0,central,18,71,29898.57422,32.55090714,23.63183403,11.2071619,0.494465828,0.043125,0.323447585,16.45112419,0.071708955,0.046695147,23.50989532,17.89635468,12.30273438,9.270414352,3.301996708,107.4829865,1586.52478,3111.772949,23987.0332,1122.880493,15.24686623,KEGE81FL,KE,2020,KE2020DHS,4.0,1937.774414,27.4637146,8,9.244011879,103.1184616,2623.240479,20.74637794,17.13873291,51.75678253,0.31561321
19,KE202000000336,KE,2020.0,336.0,R,-0.962956,36.904087,9999.0,1763.0,WGS84,POINT (36.90408651 -0.962955634),336,6,0,0,6,6,2,336,27,8,17,2,76,336,81,0,central,14,64,16116.6123,32.54936981,24.55720139,11.30574417,0.463541597,0.046041664,0.347390294,18.86768723,0.076715373,0.050995346,23.98015022,18.31498909,12.67440701,13.17817116,3.355063677,109.2052078,1563.668579,1709.714478,15678.62891,728.8725586,15.18793678,KEGE81FL,KE,2020,KE2020DHS,4.0,1731.672852,28.0,14,12.64509106,98.06648254,1810.431152,79.57941437,36.54498672,18.54884338,0.02826412
20,KE202000000341,KE,2020.0,341.0,R,3.394766,35.776954,9999.0,511.0,WGS84,POINT (35.77695408 3.394765697),341,28,6,0,28,28,2,341,30,5,7,5,151,341,154,0,rift valley,11,142,806.8273315,4.541448116,42.54366684,11.45125866,0.094021685,0.0,0.455046058,34.97727966,0.083555669,0.049052935,35.42947006,29.68705177,23.97821236,27.41089439,5.991521835,27.210186,221.9475403,111.3512802,876.3652344,40.80641937,8.391607285,KEGE81FL,KE,2020,KE2020DHS,1.0,514.0195313,21.80719566,1,0.0,0.102282323,0.038572501,4.379641056,0.0,1.434495449,0.0
21,KE202000000354,KE,2020.0,354.0,R,3.979246,34.763349,9999.0,568.0,WGS84,POINT (34.76334924 3.979246109),354,4,1,0,4,4,2,354,15,5,6,6,93,354,93,0,rift valley,14,79,207.5413666,12.57438278,38.40076447,12.5369072,0.26321581,0.0,0.383351982,30.86752892,0.147316083,0.098497726,34.35062408,28.05726242,21.81371498,23.33429337,5.179166794,65.12482452,416.5109558,22.56987953,215.9872131,10.0636692,11.7533884,KEGE81FL,KE,2020,KE2020DHS,,557.0751953,6.0,1,0.0,0.057319302,0.035262715,1.371444345,0.0,1.19179976,0.0
22,KE202000000400,KE,2020.0,400.0,R,1.301812,37.549921,9999.0,719.0,WGS84,POINT (37.54992077 1.301811977),400,23,4,0,23,23,6,400,30,14,18,3,106,400,107,0,rift valley,34,65,66.3150177,13.95921803,35.91520691,13.04062557,0.223966926,0.0,0.474706829,29.80729294,0.092646398,0.057422314,31.87565231,25.32877731,18.83502579,23.69937897,4.907422066,68.50377655,548.5490112,11.62000847,116.4700012,5.415120602,9.08058548,KEGE81FL,KE,2020,KE2020DHS,10.0,718.0087891,11.20069981,5,0.0,12.45344353,0.953682303,54.89743805,0.0,49.86837006,0.0
23,KE202000000438,KE,2020.0,438.0,R,0.974297,35.545195,9999.0,2365.0,WGS84,POINT (35.54519461 0.974297164),438,9,0,0,9,9,1,438,29,8,13,3,93,438,93,0,rift valley,13,80,9755.572266,30.22486305,22.06583595,14.22330761,0.463392615,0.000286458,0.355343729,15.39120102,0.096416965,0.062738501,27.95707512,20.81558228,13.73376751,8.716566086,4.140841961,125.1563797,2167.512207,1539.768921,6559.936523,304.9602051,17.0703373,KEGE81FL,KE,2020,KE2020DHS,1.0,2262.855469,32.03782654,8,0.56299293,33.76265335,169.2286224,31.6565609,0.061841346,77.98360443,0.078697652
24,KE202000000464,KE,2020.0,464.0,R,0.009538,35.364623,9999.0,1859.0,WGS84,POINT (35.3646225 0.009537766),464,8,0,0,8,8,6,464,23,15,39,3,90,464,91,0,rift valley,46,45,12415.42969,45.15511703,25.60560226,13.30732059,0.472885251,0.026895255,0.399809539,18.0018425,0.105722263,0.069932073,25.55681419,18.8823204,12.2494936,10.39808273,3.807147026,171.9121704,2050.766602,2032.321777,11712.07129,544.3945923,20.77098274,KEGE81FL,KE,2020,KE2020DHS,1.0,1887.794922,30.14583778,10,2.090687275,91.69399261,218.9633484,10.51054192,0.192934006,33.98493958,0.03839032
25,KE202000000509,KE,2020.0,509.0,R,-0.588605,35.645465,9999.0,2499.0,WGS84,POINT (35.64546502 -0.588605094),509,17,1,0,17,17,0,509,26,2,4,4,120,509,121,0,rift valley,1,120,7033.49707,42.35937881,22.62039185,13.52011013,0.513657629,0.427664936,0.261011392,14.85153198,0.0,0.0,22.8807869,16.09346008,9.360676765,7.082671642,3.229861259,136.8149109,1992.587158,1060.296265,6960.619629,323.5580139,20.08555222,KEGE81FL,KE,2020,KE2020DHS,4.0,2453.196289,32.51806641,12,0.0,182.2444916,185.1169128,16.60206985,1.097599864,23.68078995,0.001661087
